事件名,caseIdE,重要判例,決定日時,西暦,元号,選挙名,選挙日時,院,原審,原審日時,原審結果,最大較差,投票価値の平等,法廷,判決時長官裁判長,多数意見,反対意見,補足意見,意見,違憲状態累積,違憲状態,違憲累積,違憲,違憲無効,違憲無効だが当選,合憲状態,その他,裁判官数,裁判官Id,裁判官名,裁判官名E,裁判官投票,裁判官投票,投票カテゴリー,裁判官投票方向,投票方向ダミー,現職,性別,所属法廷,長官,出身地,出身地分類,生年月日,司法修習期,任期始期,任期終期,長官任期,任命内閣,任命政党,出身大学,大学分類,出身,裁判官経験,弁護士経験,検察経験,外交官経験,官僚経験,学者経験,民間経験,ねじれ,注目度年,注目度,内閣支持率(%),内閣支持率,不支持率(%),不支持率,与党支持率(%),与党支持率
昭和38(オ)655号,1963(O)655,0,1966/5/31,1966,昭和41年,第6回参議院議員選挙,1962/7/1,参議院,仙台高等裁判所,1963/3/28,合憲,4.088,合憲,第3小法廷,横田喜三郎,3,0,0,1,0,0,0,0,0,0,3,1,4,39,柏原語六,Goroku Kashiwabara,多数意見,合憲,1,合憲,0,0,1,3,0,岡山,2,1897/9/20,,1963/12/13,1967/9/19,,池田勇人,自民党,中央大学法学部,3,弁護士,0,1,0,0,0,0,0,0,0,0,30,0.3,26,0.26,36,0.36
昭和38(オ)655号,1963(O)655,0,1966/5/31,1966,昭和41年,第6回参議院議員選挙,1962/7/1,参議院,仙台高等裁判所,1963/3/28,合憲,4.088,合憲,第3小法廷,横田喜三郎,3,0,0,1,0,0,0,0,0,0,3,1,4,32,五鬼上堅磐,Kakiwa Gokijyo,多数意見,合憲,1,合憲,0,0,1,3,0,三重,3,1897/1/1,,1961/8/26,1966/12/31,,池田勇人,自民党,中央大学法科,3,裁判官,1,1,0,0,0,0,0,0,0,0,30,0.3,26,0.26,36,0.36
昭和38(オ)655号,1963(O)655,0,1966/5/31,1966,昭和41年,第6回参議院議員選挙,1962/7/1,参議院,仙台高等裁判所,1963/3/28,合憲,4.088,合憲,第3小法廷,横田喜三郎,3,0,0,1,0,0,0,0,0,0,3,1,4,33,横田正俊,Masatoshi Yokota,多数意見,合憲,1,合憲,0,0,1,3,1,長野,3,1899/1/11,,1962/2/28,1969/1/10,1966/8/6,池田勇人,自民党,東京大学法学部,1,裁判官,1,0,0,0,0,0,0,0,0,0,30,0.3,26,0.26,36,0.36
昭和41(行ツ)50号,1966(Gyo-Tsu)50,1,1966/12/23,1966,昭和41年,第7回参議院議員通常選挙,1965/7/4,参議院,仙台高等裁判所,1966/3/17,合憲,4.58,合憲,第3小法廷,横田喜三郎,3,0,0,1,0,0,0,0,0,0,3,1,4,40,田中二郎,Jiro Tanaka,意見,訴えは不適格,0,その他,0,0,1,3,0,兵庫,2,1906/7/14,,1964/1/16,1973/3/31,,池田勇人,自民党,東京大学法学部,1,大学教授,0,0,0,0,0,1,0,0,0,0,25,0.25,38,0.38,49,0.49
昭和41(行ツ)50号,1966(Gyo-Tsu)50,1,1966/12/23,1966,昭和41年,第7回参議院議員通常選挙,1965/7/4,参議院,仙台高等裁判所,1966/3/17,合憲,4.58,合憲,第3小法廷,横田喜三郎,3,0,0,1,0,0,0,0,0,0,3,1,4,39,柏原語六,Goroku Kashiwabara,多数意見,合憲,1,合憲,0,0,1,3,0,岡山,2,1897/9/20,,1963/12/13,1967/9/19,,池田勇人,自民党,中央大学法学部,3,弁護士,0,1,0,0,0,0,0,0,0,0,25,0.25,38,0.38,49,0.49
昭和41(行ツ)50号,1966(Gyo-Tsu)50,1,1966/12/23,1966,昭和41年,第7回参議院議員通常選挙,1965/7/4,参議院,仙台高等裁判所,1966/3/17,合憲,4.58,合憲,第3小法廷,横田喜三郎,3,0,0,1,0,0,0,0,0,0,3,1,4,32,五鬼上堅磐,Kakiwa Gokijyo,多数意見,合憲,1,合憲,0,0,1,3,0,三重,3,1897/1/1,,1961/8/26,1966/12/31,,池田勇人,自民党,中央大学法科,3,裁判官,1,1,0,0,0,0,0,0,0,0,25,0.25,38,0.38,49,0.49
昭和41(行ツ)50号,1966(Gyo-Tsu)50,1,1966/12/23,1966,昭和41年,第7回参議院議員通常選挙,1965/7/4,参議院,仙台高等裁判所,1966/3/17,合憲,4.58,合憲,第3小法廷,横田喜三郎,3,0,0,1,0,0,0,0,0,0,3,1,4,33,横田正俊,Masatoshi Yokota,多数意見,合憲,1,合憲,0,0,1,3,1,長野,3,1899/1/11,,1962/2/28,1969/1/10,1966/8/6,池田勇人,自民党,東京大学法学部,1,裁判官,1,0,0,0,0,0,0,0,0,0,25,0.25,38,0.38,49,0.49
昭和48(行ツ)102号,1973(Gyo-Tsu)102,1,1974/4/25,1974,昭和49年,第9回参議院議員通常選挙,1971/6/27,参議院,東京高等裁判所,1973/7/31,違憲状態,5.08,合憲,第1小法廷,村上朝一,5,0,0,0,0,0,0,0,0,0,5,0,5,45,大隅健一郎,Kenichiro Osumi,多数意見,合憲,1,合憲,0,0,1,1,0,愛知,2,1904/10/2,,1966/9/9,1974/10/1,,佐藤栄作,自民党,京都帝国大学法学部,2,大学教授,0,0,0,0,0,1,0,0,4,0,22,0.22,60,0.6,42,0.42
昭和48(行ツ)102号,1973(Gyo-Tsu)102,1,1974/4/25,1974,昭和49年,第9回参議院議員通常選挙,1971/6/27,参議院,東京高等裁判所,1973/7/31,違憲状態,5.08,合憲,第1小法廷,村上朝一,5,0,0,0,0,0,0,0,0,0,5,0,5,50,藤林益三,Ekizo Fujibayashi,多数意見,合憲,1,合憲,0,0,1,1,1,京都,2,1907/8/26,,1970/7/31,1977/8/25,1976/5/25,佐藤栄作,自民党,東京大学法学部,1,弁護士,0,1,0,0,0,0,0,0,4,0,22,0.22,60,0.6,42,0.42
昭和48(行ツ)102号,1973(Gyo-Tsu)102,1,1974/4/25,1974,昭和49年,第9回参議院議員通常選挙,1971/6/27,参議院,東京高等裁判所,1973/7/31,違憲状態,5.08,合憲,第1小法廷,村上朝一,5,0,0,0,0,0,0,0,0,0,5,0,5,53,下田武三,Takezo Shimoda,多数意見,合憲,1,合憲,0,0,1,1,0,東京,1,1907/4/3,,1971/1/12,1977/4/2,,佐藤栄作,自民党,東京大学法学部,1,外交官,0,0,0,1,0,0,0,0,4,0,22,0.22,60,0.6,42,0.42
昭和48(行ツ)102号,1973(Gyo-Tsu)102,1,1974/4/25,1974,昭和49年,第9回参議院議員通常選挙,1971/6/27,参議院,東京高等裁判所,1973/7/31,違憲状態,5.08,合憲,第1小法廷,村上朝一,5,0,0,0,0,0,0,0,0,0,5,0,5,54,岸盛一,Seichi Kishi,多数意見,合憲,1,合憲,0,0,1,1,0,岩手,3,1908/7/14,,1971/4/2,1978/7/13,,佐藤栄作,自民党,東京大学法学部,1,裁判官,1,0,0,0,0,0,0,0,4,0,22,0.22,60,0.6,42,0.42
昭和48(行ツ)102号,1973(Gyo-Tsu)102,1,1974/4/25,1974,昭和49年,第9回参議院議員通常選挙,1971/6/27,参議院,東京高等裁判所,1973/7/31,違憲状態,5.08,合憲,第1小法廷,村上朝一,5,0,0,0,0,0,0,0,0,0,5,0,5,57,岸上康夫,Yasuo Kishigami,多数意見,合憲,1,合憲,0,0,1,1,0,京都,2,1908/9/22,,1972/11/28,1978/9/21,,田中角栄,自民党,京都帝国大学法学部,2,裁判官,1,0,0,0,0,0,0,0,4,0,22,0.22,60,0.6,42,0.42
昭和49(行ツ)75号,1974(Gyo-Tsu)75,1,1976/4/14,1976,昭和51年,第33回衆議院議員総選挙,1972/12/10,衆議院,東京高等裁判所,1974/4/30,合憲,4.99,違憲,大法廷,村上朝一,8,7,0,0,14,0,14,8,5,1,0,1,15,51,岡原昌男,Masao Okahara,反対意見,違憲無効,4,違憲,1,0,1,2,1,岩手,3,1909/4/1,,1970/10/28,1979/3/31,1977/8/26,佐藤栄作,自民党,東京大学法学部,1,検察官,0,0,1,0,0,0,0,0,8,3,26,0.26,38,0.38,41,0.41
昭和49(行ツ)75号,1974(Gyo-Tsu)75,1,1976/4/14,1976,昭和51年,第33回衆議院議員総選挙,1972/12/10,衆議院,東京高等裁判所,1974/4/30,合憲,4.99,違憲,大法廷,村上朝一,8,7,0,0,14,0,14,8,5,1,0,1,15,53,下田武三,Takezo Shimoda,反対意見,違憲無効,4,違憲,1,0,1,1,0,東京,1,1907/4/3,,1971/1/12,1977/4/2,,佐藤栄作,自民党,東京大学法学部,1,外交官,0,0,0,1,0,0,0,0,8,3,26,0.26,38,0.38,41,0.41
昭和49(行ツ)75号,1974(Gyo-Tsu)75,1,1976/4/14,1976,昭和51年,第33回衆議院議員総選挙,1972/12/10,衆議院,東京高等裁判所,1974/4/30,合憲,4.99,違憲,大法廷,村上朝一,8,7,0,0,14,0,14,8,5,1,0,1,15,54,岸盛一,Seichi Kishi,反対意見,違憲無効だが当選,4,違憲,1,0,1,1,0,岩手,3,1908/7/14,,1971/4/2,1978/7/13,,佐藤栄作,自民党,東京大学法学部,1,裁判官,1,0,0,0,0,0,0,0,8,3,26,0.26,38,0.38,41,0.41
昭和49(行ツ)75号,1974(Gyo-Tsu)75,1,1976/4/14,1976,昭和51年,第33回衆議院議員総選挙,1972/12/10,衆議院,東京高等裁判所,1974/4/30,合憲,4.99,違憲,大法廷,村上朝一,8,7,0,0,14,0,14,8,5,1,0,1,15,55,天野武一,Buichi Amano,反対意見,訴えは不適格,0,その他,0,0,1,3,0,栃木,3,1908/9/21,,1971/5/21,1978/9/20,,佐藤栄作,自民党,東京大学法学部,1,検察官,0,0,1,0,0,0,1,0,8,3,26,0.26,38,0.38,41,0.41
昭和49(行ツ)75号,1974(Gyo-Tsu)75,1,1976/4/14,1976,昭和51年,第33回衆議院議員総選挙,1972/12/10,衆議院,東京高等裁判所,1974/4/30,合憲,4.99,違憲,大法廷,村上朝一,8,7,0,0,14,0,14,8,5,1,0,1,15,58,江里口清雄,Kiyo Eriguchi,反対意見,違憲無効,4,違憲,1,0,1,3,0,福岡,2,1910/3/20,,1973/1/9,1980/3/19,,田中角栄,自民党,東京大学法学部,1,裁判官,1,0,0,0,0,0,0,0,8,3,26,0.26,38,0.38,41,0.41
昭和49(行ツ)75号,1974(Gyo-Tsu)75,1,1976/4/14,1976,昭和51年,第33回衆議院議員総選挙,1972/12/10,衆議院,東京高等裁判所,1974/4/30,合憲,4.99,違憲,大法廷,村上朝一,8,7,0,0,14,0,14,8,5,1,0,1,15,59,大塚喜一郎,Kiichiro Otsuka,反対意見,違憲無効,4,違憲,1,0,1,2,0,京都,2,1910/2/5,,1973/2/2,1980/2/4,,田中角栄,自民党,中央大学法科,3,弁護士,0,1,0,0,0,0,0,0,8,3,26,0.26,38,0.38,41,0.41
昭和49(行ツ)75号,1974(Gyo-Tsu)75,1,1976/4/14,1976,昭和51年,第33回衆議院議員総選挙,1972/12/10,衆議院,東京高等裁判所,1974/4/30,合憲,4.99,違憲,大法廷,村上朝一,8,7,0,0,14,0,14,8,5,1,0,1,15,61,吉田豊,Yutaka Yoshida,反対意見,違憲無効,4,違憲,1,0,1,2,0,福井,3,1909/3/1,,1973/5/21,1979/2/28,,田中角栄,自民党,東京大学法学部,1,裁判官,1,0,0,0,0,0,0,0,8,3,26,0.26,38,0.38,41,0.41
昭和49(行ツ)75号,1974(Gyo-Tsu)75,1,1976/4/14,1976,昭和51年,第33回衆議院議員総選挙,1972/12/10,衆議院,東京高等裁判所,1974/4/30,合憲,4.99,違憲,大法廷,村上朝一,8,7,0,0,14,0,14,8,5,1,0,1,15,48,村上朝一,Tomokazu Murakami,多数意見,違憲,3,違憲,1,0,1,2,1,福岡,2,1906/5/25,,1968/11/19,1976/5/24,1973/5/21,佐藤栄作,自民党,東京大学法学部,1,裁判官,1,0,0,0,0,0,0,0,8,3,26,0.26,38,0.38,41,0.41
昭和49(行ツ)75号,1974(Gyo-Tsu)75,1,1976/4/14,1976,昭和51年,第33回衆議院議員総選挙,1972/12/10,衆議院,東京高等裁判所,1974/4/30,合憲,4.99,違憲,大法廷,村上朝一,8,7,0,0,14,0,14,8,5,1,0,1,15,50,藤林益三,Ekizo Fujibayashi,多数意見,違憲,3,違憲,1,0,1,1,1,京都,2,1907/8/26,,1970/7/31,1977/8/25,1976/5/25,佐藤栄作,自民党,東京大学法学部,1,弁護士,0,1,0,0,0,0,0,0,8,3,26,0.26,38,0.38,41,0.41
昭和49(行ツ)75号,1974(Gyo-Tsu)75,1,1976/4/14,1976,昭和51年,第33回衆議院議員総選挙,1972/12/10,衆議院,東京高等裁判所,1974/4/30,合憲,4.99,違憲,大法廷,村上朝一,8,7,0,0,14,0,14,8,5,1,0,1,15,56,坂本吉勝,Yoshikatsu Sakamoto,多数意見,違憲,3,違憲,1,0,1,3,0,東京,1,1906/3/27,,1971/12/7,1976/3/26,,佐藤栄作,自民党,東北帝国大学法文学部,2,弁護士,0,1,0,0,0,0,0,0,8,3,26,0.26,38,0.38,41,0.41
昭和49(行ツ)75号,1974(Gyo-Tsu)75,1,1976/4/14,1976,昭和51年,第33回衆議院議員総選挙,1972/12/10,衆議院,東京高等裁判所,1974/4/30,合憲,4.99,違憲,大法廷,村上朝一,8,7,0,0,14,0,14,8,5,1,0,1,15,57,岸上康夫,Yasuo Kishigami,多数意見,違憲,3,違憲,1,0,1,1,0,京都,2,1908/9/22,,1972/11/28,1978/9/21,,田中角栄,自民党,京都帝国大学法学部,2,裁判官,1,0,0,0,0,0,0,0,8,3,26,0.26,38,0.38,41,0.41
昭和49(行ツ)75号,1974(Gyo-Tsu)75,1,1976/4/14,1976,昭和51年,第33回衆議院議員総選挙,1972/12/10,衆議院,東京高等裁判所,1974/4/30,合憲,4.99,違憲,大法廷,村上朝一,8,7,0,0,14,0,14,8,5,1,0,1,15,60,髙辻正己,Masami Takatsuji,多数意見,違憲,3,違憲,1,0,1,3,0,静岡,2,1910/1/19,,1973/4/4,1980/1/18,,田中角栄,自民党,東京大学法学部,1,官僚,0,0,0,1,1,0,0,0,8,3,26,0.26,38,0.38,41,0.41
昭和49(行ツ)75号,1974(Gyo-Tsu)75,1,1976/4/14,1976,昭和51年,第33回衆議院議員総選挙,1972/12/10,衆議院,東京高等裁判所,1974/4/30,合憲,4.99,違憲,大法廷,村上朝一,8,7,0,0,14,0,14,8,5,1,0,1,15,62,団藤重光,Shigemitsu Dando,多数意見,違憲,3,違憲,1,0,1,1,0,山口,3,1913/11/8,,1974/10/4,1983/11/7,,田中角栄,自民党,東京大学法学部,1,大学教授,0,0,0,0,0,1,0,0,8,3,26,0.26,38,0.38,41,0.41
昭和49(行ツ)75号,1974(Gyo-Tsu)75,1,1976/4/14,1976,昭和51年,第33回衆議院議員総選挙,1972/12/10,衆議院,東京高等裁判所,1974/4/30,合憲,4.99,違憲,大法廷,村上朝一,8,7,0,0,14,0,14,8,5,1,0,1,15,63,本林讓,Yuzuru Motobayashi,多数意見,違憲,3,違憲,1,0,1,2,0,東京,1,1909/3/31,,1975/8/8,1979/3/30,,三木武夫,自民党,京都帝国大学法学部,2,弁護士,1,1,0,0,0,0,0,0,8,3,26,0.26,38,0.38,41,0.41
昭和49(行ツ)75号,1974(Gyo-Tsu)75,1,1976/4/14,1976,昭和51年,第33回衆議院議員総選挙,1972/12/10,衆議院,東京高等裁判所,1974/4/30,合憲,4.99,違憲,大法廷,村上朝一,8,7,0,0,14,0,14,8,5,1,0,1,15,49,関根小郷,Kosato Sekine,多数意見,違憲,3,違憲,1,0,1,3,0,栃木,3,1905/12/3,,1969/1/17,1975/12/2,,佐藤栄作,自民党,東京大学法学部,1,裁判官,1,0,0,0,0,0,0,0,8,3,26,0.26,38,0.38,41,0.41
昭和54(行ツ)65号,1979(Gyo-Tsu)65,1,1983/4/27,1983,昭和58年,第11回参議院議員通常選挙,1977/7/10,参議院,大阪高等裁判所,1979/2/28,合憲,5.26,合憲,大法廷,寺田治郎,7,2,3,2,2,1,1,1,0,0,10,2,14,75,伊藤正己,Masami Ito,補足意見,合憲,1,合憲,0,0,1,3,0,兵庫,2,1919/9/21,,1980/1/19,1989/9/20,,大平正芳,自民党,東京大学法学部,1,大学教授,0,0,0,0,0,1,0,0,17,4,30,0.3,40,0.4,51,0.51
昭和54(行ツ)65号,1979(Gyo-Tsu)65,1,1983/4/27,1983,昭和58年,第11回参議院議員通常選挙,1977/7/10,参議院,大阪高等裁判所,1979/2/28,合憲,5.26,合憲,大法廷,寺田治郎,7,2,3,2,2,1,1,1,0,0,10,2,14,76,宮﨑梧一,Goichi Miyazaki,補足意見,合憲,1,合憲,0,0,1,2,0,千葉,2,1914/5/5,,1980/2/6,1984/5/4,,大平正芳,自民党,東京大学法学部,1,弁護士,1,1,0,0,0,0,0,0,17,4,30,0.3,40,0.4,51,0.51
昭和54(行ツ)65号,1979(Gyo-Tsu)65,1,1983/4/27,1983,昭和58年,第11回参議院議員通常選挙,1977/7/10,参議院,大阪高等裁判所,1979/2/28,合憲,5.26,合憲,大法廷,寺田治郎,7,2,3,2,2,1,1,1,0,0,10,2,14,79,大橋進,Susumu Ohashi,補足意見,合憲,1,合憲,0,0,1,2,0,東京,1,1916/6/13,,1981/11/2,1986/6/12,,鈴木善幸,自民党,東京大学法学部,1,弁護士,1,1,0,0,0,0,0,0,17,4,30,0.3,40,0.4,51,0.51
昭和54(行ツ)65号,1979(Gyo-Tsu)65,1,1983/4/27,1983,昭和58年,第11回参議院議員通常選挙,1977/7/10,参議院,大阪高等裁判所,1979/2/28,合憲,5.26,合憲,大法廷,寺田治郎,7,2,3,2,2,1,1,1,0,0,10,2,14,71,横井大三,Daizo Yokoi,意見,問題ではない,0,その他,0,0,1,3,0,神奈川,2,1914/6/11,,1978/9/22,1984/6/10,,福田赳夫,自民党,東京大学法学部,1,検察官,1,0,1,0,0,0,0,0,17,4,30,0.3,40,0.4,51,0.51
昭和54(行ツ)65号,1979(Gyo-Tsu)65,1,1983/4/27,1983,昭和58年,第11回参議院議員通常選挙,1977/7/10,参議院,大阪高等裁判所,1979/2/28,合憲,5.26,合憲,大法廷,寺田治郎,7,2,3,2,2,1,1,1,0,0,10,2,14,78,谷口正孝,Masataka Taniguchi,意見,違憲状態,2,違憲,1,0,1,1,0,宮崎,3,1917/1/18,,1980/4/16,1987/1/27,,大平正芳,自民党,九州帝国大学法文学部,2,裁判官,1,0,0,0,0,0,0,0,17,4,30,0.3,40,0.4,51,0.51
昭和54(行ツ)65号,1979(Gyo-Tsu)65,1,1983/4/27,1983,昭和58年,第11回参議院議員通常選挙,1977/7/10,参議院,大阪高等裁判所,1979/2/28,合憲,5.26,合憲,大法廷,寺田治郎,7,2,3,2,2,1,1,1,0,0,10,2,14,62,団藤重光,Shigemitsu Dando,反対意見,違憲,3,違憲,1,0,1,1,0,山口,3,1913/11/8,,1974/10/4,1983/11/7,,田中角栄,自民党,東京大学法学部,1,大学教授,0,0,0,0,0,1,0,0,17,4,30,0.3,40,0.4,51,0.51
昭和54(行ツ)65号,1979(Gyo-Tsu)65,1,1983/4/27,1983,昭和58年,第11回参議院議員通常選挙,1977/7/10,参議院,大阪高等裁判所,1979/2/28,合憲,5.26,合憲,大法廷,寺田治郎,7,2,3,2,2,1,1,1,0,0,10,2,14,67,藤﨑萬里,Masato Fujisaki,反対意見,訴えは不適格,0,その他,0,0,1,1,0,鹿児島,3,1914/12/16,,1977/4/5,1984/12/15,,福田赳夫,自民党,東京大学文学部/法学部,1,外交官,0,0,0,1,0,0,0,0,17,4,30,0.3,40,0.4,51,0.51
